docs,corpus_size,vocabulary_size
400,178370,23311
401,179666,23382
402,180002,23404
403,180950,23454
404,181541,23489
405,181696,23491
406,182468,23529
407,182854,23551
408,183182,23556
409,183936,23592
410,184223,23606
411,184770,23637
412,185020,23653
413,185140,23655
414,185299,23665
415,185505,23671
416,185614,23673
417,185870,23728
418,186053,23735
419,187280,23840
420,187427,23853
421,188346,23934
422,188839,23999
423,188951,24003
424,189672,24046
425,189995,24071
426,192897,24342
427,193126,24358
428,193706,24406
429,194046,24452
430,194223,24463
431,196102,24605
432,197122,24676
433,200042,24860
434,200403,24879
435,200571,24879
436,200979,24925
437,201099,24925
438,201536,24942
439,201691,24946
440,202102,25058
441,202449,25072
442,202979,25088
443,203191,25109
444,203846,25145
445,204090,25171
446,204888,25212
447,205095,25219
448,205253,25226
449,207715,25411
450,207974,25423
451,208438,25458
452,209338,25529
453,209465,25531
454,209994,25574
455,210263,25588
456,210493,25598
457,211400,25726
458,213893,25869
459,214160,25910
460,214575,25962
461,214905,25992
462,215069,26001
463,215210,26018
464,215698,26100
465,217241,26246
466,217371,26251
467,217546,26270
468,217985,26291
469,218169,26296
470,219090,26358
471,219489,26382
472,219750,26409
473,219984,26434
474,220402,26525
475,220611,26536
476,220770,26546
477,220936,26552
478,221353,26573
479,222011,26619
480,222454,26654
481,222601,26660
482,222980,26679
483,224124,26755
484,224514,26795
485,224722,26812
486,226055,26958
487,226289,26969
488,226650,27000
489,226820,27016
490,226947,27021
491,227137,27028
492,227751,27076
493,227939,27096
494,228694,27159
495,229024,27201
496,229261,27215
497,229663,27223
498,230041,27268
499,230870,27337
500,231850,27432
501,232809,27513
502,233372,27581
503,233704,27606
504,233839,27610
505,234050,27620
506,234314,27644
507,236012,27774
508,236141,27791
509,236523,27825
510,236708,27833
511,236852,27836
512,238406,27904
513,238807,27933
514,239012,27948
515,239551,27975
516,239740,27988
517,239976,28007
518,240112,28008
519,240894,28091
520,241017,28112
521,241192,28122
522,241421,28134
523,241555,28138
524,241747,28150
525,241900,28154
526,242367,28185
527,242565,28195
528,244195,28392
529,245148,28562
530,245821,28673
531,245943,28678
532,246471,28710
533,246853,28730
534,247243,28746
535,247379,28781
536,248247,28866
537,248583,28882
538,249643,28951
539,251087,29083
540,256240,29380
541,256475,29408
542,256596,29409
543,257291,29466
544,257726,29502
545,258172,29647
546,258779,29699
547,259352,29737
548,260066,29788
549,260307,29811
550,260874,29866
551,265235,30124
552,273657,30688
553,273914,30719
554,274277,30745
555,274624,30859
556,275192,31131
557,275374,31140
558,275598,31218
559,275764,31232
560,276201,31245
561,276320,31250
562,276686,31269
563,277468,31311
564,277656,31316
565,277795,31321
566,278073,31338
567,278392,31351
568,278858,31386
569,279294,31411
570,279471,31418
571,279907,31434
572,280136,31442
573,280263,31445
574,280438,31450
575,280568,31452
576,280740,31475
577,281062,31479
578,281504,31496
579,281681,31509
580,281812,31514
581,281994,31520
582,282735,31587
583,283203,31603
584,283389,31609
585,283722,31722
586,283876,31728
587,284514,31763
588,284731,31772
589,284835,31781
590,286934,32024
591,287066,32027
592,287471,32071
593,287613,32074
594,288205,32100
595,288840,32136
596,289499,32229
597,289667,32232
598,289860,32237
599,290008,32240
600,290289,32271
601,290466,32297
602,290645,32306
603,290849,32314
604,290992,32321
605,291525,32346
606,299235,32793
607,299678,32843
608,300801,32967
609,300990,32973
610,301227,32978
611,301379,32985
612,302143,33026
613,302446,33039
614,302645,33047
615,302907,33064
616,303510,33128
617,304838,33172
618,305465,33225
619,305770,33248
620,306307,33280
621,307292,33333
622,307449,33336
623,307817,33365
624,307944,33367
625,308228,33381
626,310556,33631
627,310727,33635
628,311016,33653
629,311474,33682
630,311654,33687
631,311856,33692
632,312367,33728
633,312641,33741
634,312926,33756
635,313290,33787
636,313496,33797
637,313830,33803
638,314465,33859
639,314698,33866
640,315010,33883
641,315135,33887
642,315686,33913
643,315917,33915
644,316366,33951
645,316491,33952
646,316898,33960
647,317222,33992
648,317462,34005
649,317577,34007
650,317927,34039
651,318738,34094
652,319011,34107
653,321846,34234
654,321977,34237
655,322144,34245
656,322393,34285
657,322760,34317
658,323042,34332
659,323339,34344
660,323884,34396
661,330131,34767
662,333991,34959
663,334332,34981
664,334558,34993
665,336572,35250
666,336758,35256
667,337372,35288
668,337582,35295
669,337809,35306
670,338428,35347
671,338749,35375
672,338928,35379
673,339310,35403
674,341299,35522
675,341462,35525
676,342401,35570
677,342617,35575
678,343502,35642
679,343705,35660
680,343999,35677
681,344694,35708
682,344904,35717
683,345079,35727
684,345248,35736
685,346199,35778
686,346382,35813
687,346556,35817
688,346798,35863
689,347145,35883
690,348223,35955
691,348607,35969
692,348897,35983
693,349330,36020
694,351056,36122
695,351298,36147
696,352318,36215
697,352602,36238
698,352838,36250
699,353869,36319
700,354187,36357
701,354944,36384
702,355159,36394
703,355826,36437
704,356244,36474
705,356596,36489
706,356734,36494
707,356957,36510
708,357460,36530
709,357773,36560
710,359149,36651
711,359460,36677
712,360083,36718
713,360319,36732
714,360662,36748
715,361622,36793
716,362273,36824
717,365205,36947
718,365700,36979
719,366458,37037
720,367806,37064
721,368211,37075
722,368523,37094
723,368755,37099
724,369613,37126
725,370389,37171
726,370698,37185
727,370939,37202
728,372092,37248
729,372215,37251
730,372568,37259
731,372919,37277
732,373060,37281
733,373578,37336
734,373885,37344
735,379643,37577
736,379882,37584
737,380034,37589
738,380467,37611
739,380900,37627
740,381230,37646
741,381821,37682
742,385117,37835
743,385299,37838
744,385591,37850
745,385755,37852
746,385983,37855
747,386116,37858
748,386317,37860
749,386594,37871
750,386966,37879
751,387828,37929
752,388126,37943
753,388345,37944
754,388464,37947
755,390055,38012
756,390815,38060
757,392327,38148
758,392481,38150
759,392853,38174
760,396883,38359
761,397008,38362
762,397199,38368
763,397430,38378
764,398268,38422
765,399524,38469
766,399856,38498
767,399980,38500
768,400954,38540
769,401403,38551
770,402198,38597
771,402409,38601
772,402660,38616
773,402866,38627
774,403577,38652
775,408994,38845
776,409126,38854
777,409402,38866
778,409809,38895
779,410021,38907
780,410193,38909
781,410323,38911
782,410655,38923
783,411306,38954
784,411633,38972
785,412203,39022
786,412338,39025
787,412802,39052
788,412976,39064
789,413183,39072
790,413656,39116
791,413932,39128
792,414892,39202
793,415274,39217
794,415495,39232
795,415972,39247
796,416272,39275
797,416566,39305
798,419054,39646
799,423680,40004
800,424006,40013
801,424288,40038
802,424935,40066
803,425522,40090
804,425721,40091
805,426266,40170
806,426739,40217
807,426944,40221
808,427052,40224
809,427299,40233
810,427997,40353
811,428189,40366
812,428411,40371
813,428974,40429
814,429121,40434
815,429243,40440
816,429435,40443
817,429636,40453
818,429850,40461
819,430556,40504
820,431040,40520
821,431327,40554
822,431476,40562
823,432029,40688
824,432246,40704
825,432559,40720
826,433293,41218
827,433597,41266
828,435277,41338
829,435653,41358
830,435835,41373
831,436023,41389
832,436266,41397
833,440105,41590
834,440426,41599
835,440767,41619
836,441003,41625
837,441362,41639
838,441735,41665
839,445553,41887
840,446834,41931
841,447141,41956
842,447253,41960
843,447464,41964
844,447577,41965
845,448290,41990
846,448407,41994
847,448758,42059
848,449267,42337
849,449891,42381
850,450086,42389
851,450662,42441
852,450787,42445
853,451720,42493
854,452464,42541
855,453260,42581
856,453377,42582
857,453908,42613
858,454050,42618
859,454429,42638
860,454647,42705
861,454824,42709
862,455509,42739
863,455777,42764
864,455929,42768
865,456854,42830
866,457084,42855
867,463322,43153
868,463529,43161
869,463793,43171
870,464289,43196
871,466383,43433
872,467401,43542
873,467925,43570
874,468106,43582
875,468542,43634
876,468693,43642
877,469100,43656
878,469613,43692
879,470284,43740
880,470477,43746
881,470759,43751
882,470958,43755
883,471189,43765
884,471338,43767
885,471859,43793
886,474918,43877
887,475053,43882
888,475242,43890
889,476032,43963
890,476282,43968
891,478924,44057
892,479610,44085
893,479803,44094
894,480176,44111
895,480342,44118
896,480568,44126
897,480679,44126
898,481161,44256
899,481390,44261
900,481744,44274
901,482053,44313
902,482570,44335
903,483034,44354
904,483185,44358
905,483718,44394
906,483962,44410
907,484079,44414
908,485136,44535
909,485394,44550
910,485716,44582
911,486516,44608
912,487838,44775
913,488008,44783
914,488302,44805
915,488477,44806
916,488711,44817
917,488867,44828
918,489224,44844
919,489558,44860
920,489849,44868
921,490382,44881
922,490872,44894
923,493335,45027
924,493621,45053
925,493919,45079
926,494100,45089
927,494214,45091
928,494419,45096
929,498260,45244
930,498547,45279
931,499871,45350
