docs,corpus_size,vocabulary_size
399,200620,24649
400,200812,24654
401,200931,24660
402,201181,24672
403,201441,24686
404,202028,24733
405,202409,24770
406,202720,24787
407,202843,24788
408,203091,24805
409,203733,24857
410,203980,24875
411,204267,24893
412,204575,24900
413,204696,24901
414,204936,24948
415,205084,24956
416,205496,25032
417,206037,25080
418,206346,25096
419,206802,25123
420,207157,25141
421,207716,25157
422,207863,25162
423,207999,25165
424,208248,25187
425,208638,25223
426,216044,25883
427,216412,25918
428,217029,25975
429,217255,25989
430,217751,26065
431,217902,26070
432,218357,26106
433,218747,26128
434,220068,26254
435,220378,26296
436,220520,26308
437,221677,26433
438,221857,26441
439,222365,26461
440,223018,26503
441,223478,26543
442,224254,26605
443,225083,26655
444,225530,26695
445,226212,26750
446,226431,26761
447,226614,26773
448,227364,26813
449,227588,26856
450,227737,26863
451,227961,26879
452,233840,27295
453,234077,27317
454,234236,27336
455,234391,27348
456,234540,27362
457,235176,27406
458,235634,27468
459,238789,27781
460,239064,27810
461,239266,27825
462,239534,27853
463,241032,27951
464,241463,27972
465,241805,28043
466,242181,28069
467,242482,28086
468,244609,28273
469,245276,28358
470,246250,28384
471,246481,28397
472,247001,28456
473,247540,28489
474,247924,28501
475,248056,28512
476,248339,28530
477,248554,28544
478,248756,28557
479,248896,28561
480,249042,28570
481,250189,28679
482,250647,28710
483,250908,28726
484,251113,28736
485,251800,28767
486,251912,28769
487,252875,28826
488,253224,28856
489,253495,28907
490,253990,29194
491,254192,29196
492,254514,29211
493,254737,29220
494,255119,29236
495,255371,29247
496,255846,29284
497,256102,29296
498,256494,29312
499,257661,29371
500,257833,29373
501,258326,29408
502,258721,29431
503,259181,29467
504,259579,29505
505,260161,29547
506,260357,29582
507,260964,29622
508,261485,29639
509,262034,29690
510,262373,29708
511,262491,29710
512,262696,29721
513,263135,29745
514,263326,29753
515,263708,29774
516,265216,29958
517,265516,29970
518,265628,29975
519,266045,30016
520,266220,30019
521,266380,30030
522,266543,30040
523,266933,30075
524,267653,30300
525,267903,30323
526,268288,30366
527,268399,30366
528,268931,30404
529,269042,30408
530,269245,30413
531,269604,30439
532,269838,30453
533,271197,30648
534,271856,30698
535,272003,30704
536,273384,30780
537,273551,30803
538,273962,30832
539,274122,30835
540,274426,30855
541,274604,30863
542,275721,30916
543,277836,31116
544,279579,31254
545,279807,31266
546,280029,31279
547,280277,31287
548,280518,31295
549,280700,31296
550,281255,31343
551,281800,31372
552,281913,31376
553,282475,31406
554,283549,31537
555,283786,31569
556,284712,31667
557,284917,31674
558,285105,31679
559,285351,31693
560,285518,31702
561,285640,31706
562,285917,31727
563,286160,31758
564,286316,31764
565,286473,31773
566,286796,31781
567,287284,31820
568,287423,31828
569,288527,31900
570,288673,31908
571,288812,31919
572,289670,31965
573,289824,31970
574,290058,32015
575,293490,32467
576,294364,32528
577,294714,32553
578,294947,32567
579,295121,32570
580,295394,32584
581,295596,32589
582,296234,32772
583,296436,32782
584,296744,32800
585,296952,32808
586,297435,32838
587,297648,32843
588,298279,32888
589,298471,32903
590,298732,32959
591,299220,32996
592,299673,33053
593,299893,33059
594,300400,33113
